date,price
7/30/2018,45.711075
7/31/2018,45.80254
8/1/2018,48.500771
8/2/2018,49.91848
8/3/2018,50.062901
8/6/2018,50.322853
8/7/2018,49.851086
8/8/2018,49.884789
8/9/2018,50.277126
8/10/2018,50.127361
8/13/2018,50.451042
8/14/2018,50.663593
8/15/2018,50.781948
8/16/2018,51.525906
8/17/2018,52.554878
8/20/2018,52.042805
8/21/2018,51.941357
8/22/2018,51.943771
8/23/2018,52.050053
8/24/2018,52.21188
8/27/2018,52.64183
8/28/2018,53.066944
8/29/2018,53.8592
8/30/2018,54.354366
8/31/2018,54.982384
9/4/2018,55.15871
9/5/2018,54.798805
9/6/2018,53.888195
9/7/2018,53.453415
9/10/2018,52.736031
9/11/2018,54.069351
9/12/2018,53.397858
9/13/2018,54.687695
9/14/2018,54.066929
9/17/2018,52.627342
9/18/2018,52.714291
9/19/2018,52.745689
9/20/2018,53.146652
9/21/2018,52.5742
9/24/2018,53.330223
9/25/2018,53.668385
9/26/2018,53.24086
9/27/2018,54.335041
9/28/2018,54.52586
10/1/2018,54.893013
10/2/2018,55.380917
10/3/2018,56.054825
10/4/2018,55.069332
10/5/2018,54.175621
10/8/2018,54.05003
10/9/2018,54.798805
10/10/2018,52.260189
10/11/2018,51.79884
10/12/2018,53.649063
10/15/2018,52.50174
10/16/2018,53.658726
10/17/2018,53.426838
10/18/2018,52.17807
10/19/2018,52.972736
10/22/2018,53.296406
10/23/2018,53.798813
10/24/2018,51.953434
10/25/2018,53.091099
10/26/2018,52.245697
10/29/2018,51.265034
10/30/2018,51.521069
10/31/2018,52.864052
11/1/2018,53.675636
11/2/2018,50.115292
11/5/2018,48.692608
11/6/2018,49.219166
11/7/2018,50.711899
11/8/2018,50.534962
11/9/2018,49.56057
11/12/2018,47.063995
11/13/2018,46.593769
11/14/2018,45.277618
11/15/2018,46.395016
11/16/2018,46.908871
11/19/2018,45.049774
11/20/2018,42.897396
11/21/2018,42.848923
11/23/2018,41.760605
11/26/2018,42.325363
11/27/2018,42.233257
11/28/2018,43.857243
11/29/2018,43.520325
11/30/2018,43.285206
12/3/2018,44.797691
12/4/2018,42.827103
12/6/2018,42.349609
12/7/2018,40.839542
12/10/2018,41.108585
12/11/2018,40.87347
12/12/2018,40.987396
12/13/2018,41.435814
12/14/2018,40.109951
12/17/2018,39.736687
12/18/2018,40.252972
12/19/2018,38.997406
12/20/2018,38.013321
12/21/2018,36.534771
12/24/2018,35.589474
12/26/2018,38.095737
12/27/2018,37.848503
12/28/2018,37.867893
12/31/2018,38.233898
1/2/2019,38.277531
1/3/2019,34.464802
1/4/2019,35.936069
1/7/2019,35.856091
1/8/2019,36.539612
1/9/2019,37.160126
1/10/2019,37.278889
1/11/2019,36.912895
1/14/2019,36.357826
1/15/2019,37.101955
1/16/2019,37.555218
1/17/2019,37.77821
1/18/2019,38.010906
1/22/2019,37.1577
1/23/2019,37.307983
1/24/2019,37.012272
1/25/2019,38.238739
1/28/2019,37.884861
1/29/2019,37.492191
1/30/2019,40.054211
1/31/2019,40.342648
2/1/2019,40.362034
2/4/2019,41.508526
2/5/2019,42.218716
2/6/2019,42.233257
2/7/2019,41.433384
2/8/2019,41.482071
2/11/2019,41.243511
2/12/2019,41.598919
2/13/2019,41.426083
2/14/2019,41.577007
2/15/2019,41.484509
2/19/2019,41.60865
2/20/2019,41.876408
2/21/2019,41.640285
2/22/2019,42.105232
2/25/2019,42.411953
2/26/2019,42.436295
2/27/2019,42.567745
2/28/2019,42.149052
3/1/2019,42.592087
3/4/2019,42.806301
3/5/2019,42.728409
3/6/2019,42.482544
3/7/2019,41.990826
3/8/2019,42.090633
3/11/2019,43.548748
3/12/2019,44.038033
3/13/2019,44.23278
3/14/2019,44.724491
3/15/2019,45.306278
3/18/2019,45.768784
3/19/2019,45.406078
3/20/2019,45.802864
3/21/2019,47.489799
3/22/2019,46.506363
3/25/2019,45.944054
3/26/2019,45.469372
3/27/2019,45.878326
3/28/2019,45.939186
3/29/2019,46.238594
4/1/2019,46.552616
4/2/2019,47.229336
4/3/2019,47.553089
4/4/2019,47.635853
4/5/2019,47.954739
4/8/2019,48.709358
4/9/2019,48.563305
4/10/2019,48.835945
4/11/2019,48.429424
4/12/2019,48.409939
4/15/2019,48.497578
4/16/2019,48.502449
4/17/2019,49.446941
4/18/2019,49.624641
4/22/2019,49.787739
4/23/2019,50.505836
4/24/2019,50.42794
4/25/2019,49.970306
4/26/2019,49.731743
4/29/2019,49.807209
4/30/2019,48.848114
5/1/2019,51.245846
5/2/2019,50.912354
5/3/2019,51.545261
5/6/2019,50.749256
5/7/2019,49.38121
5/8/2019,49.390945
5/9/2019,48.860283
5/10/2019,48.183403
5/13/2019,45.383007
5/14/2019,46.101437
5/15/2019,46.653683
5/16/2019,46.448425
5/17/2019,46.184517
5/20/2019,44.74033
5/21/2019,45.598042
5/22/2019,44.664581
5/23/2019,43.902172
5/24/2019,43.733555
5/28/2019,43.552727
5/29/2019,43.345016
5/30/2019,43.569843
5/31/2019,42.780552
6/3/2019,42.348022
6/4/2019,43.897282
6/5/2019,44.60593
6/6/2019,45.260826
6/7/2019,46.465523
6/10/2019,47.059334
6/11/2019,47.604263
6/12/2019,47.452755
6/13/2019,47.442978
6/14/2019,47.098434
6/17/2019,47.37944
6/18/2019,48.493732
6/19/2019,48.352013
6/20/2019,48.740543
6/21/2019,48.574383
6/24/2019,48.525505
6/25/2019,47.789982
6/26/2019,48.82362
6/27/2019,48.808968
6/28/2019,48.364223
7/1/2019,49.25127
7/2/2019,49.539612
7/3/2019,49.950146
7/5/2019,49.906151
7/8/2019,48.877392
7/9/2019,49.175514
7/10/2019,49.661785
7/11/2019,49.300129
7/12/2019,49.678898
7/15/2019,50.14563
7/16/2019,49.972137
7/17/2019,49.691116
7/18/2019,50.255589
7/19/2019,49.505398
7/22/2019,50.636799
7/23/2019,51.032669
7/24/2019,50.991127
7/25/2019,50.587925
7/26/2019,50.763866
7/29/2019,51.237923
7/30/2019,51.018005
7/31/2019,52.05899
8/1/2019,50.932472
8/2/2019,49.854836
8/5/2019,47.245045
8/6/2019,48.139412
8/7/2019,48.637917
8/8/2019,49.710667
8/9/2019,49.301025
8/12/2019,49.17593
8/13/2019,51.258442
8/14/2019,49.732738
8/15/2019,49.484997
8/16/2019,50.652584
8/19/2019,51.596958
8/20/2019,51.599407
8/21/2019,52.158676
8/22/2019,52.114517
8/23/2019,49.705757
8/26/2019,50.650131
8/27/2019,50.078606
8/28/2019,50.41465
8/29/2019,51.268261
8/30/2019,51.202038
9/3/2019,50.456348
9/4/2019,51.31242
9/5/2019,52.315651
9/6/2019,52.310749
9/9/2019,52.533966
9/10/2019,53.154552
9/11/2019,54.844608
9/12/2019,54.721962
9/13/2019,53.657394
9/16/2019,53.939476
9/17/2019,54.135715
9/18/2019,54.643471
9/19/2019,54.199493
9/20/2019,53.4072
9/23/2019,53.65004
9/24/2019,53.394932
9/25/2019,54.216656
9/26/2019,53.937027
9/27/2019,53.674572
9/30/2019,54.937817
10/1/2019,55.089893
10/2/2019,53.708908
10/3/2019,54.165154
10/4/2019,55.683502
10/7/2019,55.695763
10/8/2019,55.043289
10/9/2019,55.688404
10/10/2019,56.438992
10/11/2019,57.940178
10/14/2019,57.856781
10/15/2019,57.721867
10/16/2019,57.488842
10/17/2019,57.712059
10/18/2019,57.989235
10/21/2019,58.994923
10/22/2019,58.860023
10/23/2019,59.649857
10/24/2019,59.747967
10/25/2019,60.483849
10/28/2019,61.08971
10/29/2019,59.67683
10/30/2019,59.669476
10/31/2019,61.018578
11/1/2019,62.750332
11/4/2019,63.162426
11/5/2019,63.071671
11/6/2019,63.098637
11/7/2019,63.826878
11/8/2019,64.001564
11/11/2019,64.508385
11/12/2019,64.449326
11/13/2019,65.066872
11/14/2019,64.616646
11/15/2019,65.384247
11/18/2019,65.713913
11/19/2019,65.514648
11/20/2019,64.751953
11/21/2019,64.461639
11/22/2019,64.405045
11/25/2019,65.534302
11/26/2019,65.022583
11/27/2019,65.895973
11/29/2019,65.750816
12/2/2019,64.990585
12/3/2019,63.831799
12/4/2019,64.39521
12/5/2019,65.339951
